Querier,No. of Policies,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,No. of Policies,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,No. of Policies,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,No. of Policies,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
10054,11,soft-hit,101.211299,9.424648,62.57274,173.208687,0,0
10054,11,soft-hit,99.474746,9.341614,61.33028,170.14664,0,0
10054,11,soft-hit,99.895306,16.224429,61.27862,177.398355,0,0
10054,11,soft-hit,99.02385,9.514664,61.230574,169.769088,0,0
10054,11,soft-hit,101.424576,13.542095,62.789681,177.756352,0,0
10054,12,soft-hit,107.075648,10.061887,65.756646,182.894181,0,0
10054,12,soft-hit,111.575925,11.241333,70.154178,192.97143599999998,0,0
10054,12,soft-hit,106.403006,15.020156,65.86176,187.284922,0,0
10054,12,soft-hit,107.906511,9.6579,66.940425,184.504836,0,0
10054,12,soft-hit,106.175299,16.402267,65.498429,188.07599499999998,0,0
10054,12,soft-hit,124.684717,9.01658,65.659107,199.36040400000002,0,0
10054,12,soft-hit,108.211459,15.566742,66.775806,190.554007,0,0
10054,12,soft-hit,107.628384,9.742995,65.74468,183.116059,0,0
28393,12,miss,108.211507,10.989062,67.305965,0,186.506534,0
28393,12,soft-hit,106.138912,15.848912,66.403547,188.391371,0,0
28393,12,soft-hit,107.106531,9.386747,65.9986,182.49187799999999,0,0
28393,12,soft-hit,103.598898,18.125136,67.148941,188.872975,0,0
